id,"genre","name",calorie,"created_at","updated_at"
221,"小鉢","薩摩ハーブ鷄のレバー煮",81,"2017-10-24 09:36:38","2017-10-24 09:36:38"
222,"小鉢","ハッシュポテト",149,"2017-10-24 09:36:33","2017-10-24 09:36:33"
223,"小鉢","いももち",205,"2017-10-24 09:36:33","2017-10-24 09:36:33"
224,"小鉢","とろろ",37,"2017-10-24 09:36:33","2017-10-24 09:36:33"
225,"小鉢","ナムル",132,"2017-10-24 09:36:38","2017-10-24 09:36:38"
226,"小鉢","きゅうりの浅漬け",15,"2017-10-24 09:36:38","2017-10-24 09:36:38"
227,"小鉢","キャベツときゅうりのおしんこ",10,"0000-00-00 00:00:00","0000-00-00 00:00:00"
228,"小鉢","キムチ",21,"2017-10-24 09:36:39","2017-10-24 09:36:39"
229,"小鉢","ピクルス",41,"2017-10-24 09:36:39","2017-10-24 09:36:39"
301,"揚げ物","ロースカツ",684,"2017-10-24 09:36:28","2017-10-24 09:36:28"
302,"揚げ物","メンチカツ",572,"2017-10-24 09:36:35","2017-10-24 09:36:35"
303,"揚げ物","とんカツ",610,"2017-10-24 09:36:28","2017-10-24 09:36:28"
304,"揚げ物","チキンカツ",886,"2017-10-24 09:36:28","2017-10-24 09:36:28"
305,"揚げ物","チキンナゲット",514,"2017-10-24 09:36:28","2017-10-24 09:36:28"
